"MEDIA","SKU CODE","COLOR","STORAGE","RAM","CONDITION","BATTERY","WEIGHT","MRP (₹)","BUY (₹)","SELL (₹)","STOCK","STATUS","ACTION"
"perm_media
Media","mba-m2-15-sta-256gb-8gb-vlm-33","Starlight","256GB","8GB","Very Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-256gb-8gb-vlm-34","Starlight","256GB","8GB","Very Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-256gb-8gb-lm-35","Starlight","256GB","8GB","Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-256gb-8gb-lm-36","Starlight","256GB","8GB","Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-256gb-16gb-vlm-37","Starlight","256GB","16GB","Very Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-256gb-16gb-vlm-38","Starlight","256GB","16GB","Very Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-256gb-16gb-lm-39","Starlight","256GB","16GB","Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-256gb-16gb-lm-40","Starlight","256GB","16GB","Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-512gb-8gb-vlm-41","Starlight","512GB","8GB","Very Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-512gb-8gb-vlm-42","Starlight","512GB","8GB","Very Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-512gb-8gb-lm-43","Starlight","512GB","8GB","Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-512gb-8gb-lm-44","Starlight","512GB","8GB","Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-512gb-16gb-vlm-45","Starlight","512GB","16GB","Very Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-512gb-16gb-vlm-46","Starlight","512GB","16GB","Very Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-512gb-16gb-lm-47","Starlight","512GB","16GB","Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-512gb-16gb-lm-48","Starlight","512GB","16GB","Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-1tb-8gb-vlm-49","Starlight","1TB","8GB","Very Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-1tb-8gb-vlm-50","Starlight","1TB","8GB","Very Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-1tb-8gb-lm-51","Starlight","1TB","8GB","Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-1tb-8gb-lm-52","Starlight","1TB","8GB","Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-1tb-16gb-vlm-53","Starlight","1TB","16GB","Very Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-1tb-16gb-vlm-54","Starlight","1TB","16GB","Very Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-1tb-16gb-lm-55","Starlight","1TB","16GB","Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-1tb-16gb-lm-56","Starlight","1TB","16GB","Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-2tb-8gb-vlm-57","Starlight","2TB","8GB","Very Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-2tb-8gb-vlm-58","Starlight","2TB","8GB","Very Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-2tb-8gb-lm-59","Starlight","2TB","8GB","Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-2tb-8gb-lm-60","Starlight","2TB","8GB","Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-2tb-16gb-vlm-61","Starlight","2TB","16GB","Very Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-2tb-16gb-vlm-62","Starlight","2TB","16GB","Very Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-2tb-16gb-lm-63","Starlight","2TB","16GB","Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sta-2tb-16gb-lm-64","Starlight","2TB","16GB","Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-256gb-8gb-vlm-65","Space Gray","256GB","8GB","Very Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-256gb-8gb-vlm-66","Space Gray","256GB","8GB","Very Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-256gb-8gb-lm-67","Space Gray","256GB","8GB","Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-256gb-8gb-lm-68","Space Gray","256GB","8GB","Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-256gb-16gb-vlm-69","Space Gray","256GB","16GB","Very Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-256gb-16gb-vlm-70","Space Gray","256GB","16GB","Very Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-256gb-16gb-lm-71","Space Gray","256GB","16GB","Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-256gb-16gb-lm-72","Space Gray","256GB","16GB","Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-512gb-8gb-vlm-73","Space Gray","512GB","8GB","Very Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-512gb-8gb-vlm-74","Space Gray","512GB","8GB","Very Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-512gb-8gb-lm-75","Space Gray","512GB","8GB","Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-512gb-8gb-lm-76","Space Gray","512GB","8GB","Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-512gb-16gb-vlm-77","Space Gray","512GB","16GB","Very Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-512gb-16gb-vlm-78","Space Gray","512GB","16GB","Very Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-512gb-16gb-lm-79","Space Gray","512GB","16GB","Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-512gb-16gb-lm-80","Space Gray","512GB","16GB","Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-1tb-8gb-vlm-81","Space Gray","1TB","8GB","Very Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-1tb-8gb-vlm-82","Space Gray","1TB","8GB","Very Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-1tb-8gb-lm-83","Space Gray","1TB","8GB","Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-1tb-8gb-lm-84","Space Gray","1TB","8GB","Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-1tb-16gb-vlm-85","Space Gray","1TB","16GB","Very Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-1tb-16gb-vlm-86","Space Gray","1TB","16GB","Very Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-1tb-16gb-lm-87","Space Gray","1TB","16GB","Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-1tb-16gb-lm-88","Space Gray","1TB","16GB","Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-2tb-8gb-vlm-89","Space Gray","2TB","8GB","Very Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-2tb-8gb-vlm-90","Space Gray","2TB","8GB","Very Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-2tb-8gb-lm-91","Space Gray","2TB","8GB","Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-2tb-8gb-lm-92","Space Gray","2TB","8GB","Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-2tb-16gb-vlm-93","Space Gray","2TB","16GB","Very Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-2tb-16gb-vlm-94","Space Gray","2TB","16GB","Very Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-2tb-16gb-lm-95","Space Gray","2TB","16GB","Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-spa-2tb-16gb-lm-96","Space Gray","2TB","16GB","Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-256gb-8gb-vlm-97","Silver","256GB","8GB","Very Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-256gb-8gb-vlm-98","Silver","256GB","8GB","Very Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-256gb-8gb-lm-99","Silver","256GB","8GB","Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-256gb-8gb-lm-100","Silver","256GB","8GB","Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-256gb-16gb-vlm-101","Silver","256GB","16GB","Very Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-256gb-16gb-vlm-102","Silver","256GB","16GB","Very Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-256gb-16gb-lm-103","Silver","256GB","16GB","Light","85%-100%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-256gb-16gb-lm-104","Silver","256GB","16GB","Light","75%-84%","1.51 kg","134900","72000","89999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-512gb-8gb-vlm-105","Silver","512GB","8GB","Very Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-512gb-8gb-vlm-106","Silver","512GB","8GB","Very Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-512gb-8gb-lm-107","Silver","512GB","8GB","Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-512gb-8gb-lm-108","Silver","512GB","8GB","Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-512gb-16gb-vlm-109","Silver","512GB","16GB","Very Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-512gb-16gb-vlm-110","Silver","512GB","16GB","Very Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-512gb-16gb-lm-111","Silver","512GB","16GB","Light","85%-100%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-512gb-16gb-lm-112","Silver","512GB","16GB","Light","75%-84%","1.51 kg","154900","84000","99999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-1tb-8gb-vlm-113","Silver","1TB","8GB","Very Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-1tb-8gb-vlm-114","Silver","1TB","8GB","Very Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-1tb-8gb-lm-115","Silver","1TB","8GB","Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-1tb-8gb-lm-116","Silver","1TB","8GB","Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-1tb-16gb-vlm-117","Silver","1TB","16GB","Very Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-1tb-16gb-vlm-118","Silver","1TB","16GB","Very Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-1tb-16gb-lm-119","Silver","1TB","16GB","Light","85%-100%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-1tb-16gb-lm-120","Silver","1TB","16GB","Light","75%-84%","1.51 kg","194900","108000","124999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-2tb-8gb-vlm-121","Silver","2TB","8GB","Very Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-2tb-8gb-vlm-122","Silver","2TB","8GB","Very Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-2tb-8gb-lm-123","Silver","2TB","8GB","Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-2tb-8gb-lm-124","Silver","2TB","8GB","Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-2tb-16gb-vlm-125","Silver","2TB","16GB","Very Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-2tb-16gb-vlm-126","Silver","2TB","16GB","Very Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-2tb-16gb-lm-127","Silver","2TB","16GB","Light","85%-100%","1.51 kg","234900","130000","149999","0","Deactive","delete"
"perm_media
Media","mba-m2-15-sil-2tb-16gb-lm-128","Silver","2TB","16GB","Light","75%-84%","1.51 kg","234900","130000","149999","0","Deactive","delete"
